algorithm_name,suite,function_id,run_id,seed,maxFEs,used_FEs,fe_control_mode,status,error_message
BBO,cec2017,1,1,20260314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
SBO,cec2017,1,1,20261314,3000,3000,exact_fes_parameter,completed,""
HGS,cec2017,1,1,20262314,3000,2970,exact_derived_iteration_from_maxFEs,completed,""
SMA,cec2017,1,1,20263314,3000,2970,exact_derived_iteration_from_maxFEs,completed,""
HHO,cec2017,1,1,20264314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
RUN,cec2017,1,1,20265314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
INFO,cec2017,1,1,20266314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
MGO,cec2017,1,1,20267314,3000,3000,exact_fes_parameter,completed,""
PLO,cec2017,1,1,20268314,3000,30,exact_fes_parameter_with_runtime_error,failed,"用于矩阵乘法的维度不正确。请检查并确保第一个矩阵中的列数与第二个矩阵中的行数匹配。要单独对矩阵的每个元素进行运算，请使用 TIMES (.*)执行按元素相乘。"
PO,cec2017,1,1,20269314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
BBO,cec2017,2,1,20360314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
SBO,cec2017,2,1,20361314,3000,3000,exact_fes_parameter,completed,""
HGS,cec2017,2,1,20362314,3000,2970,exact_derived_iteration_from_maxFEs,completed,""
SMA,cec2017,2,1,20363314,3000,2970,exact_derived_iteration_from_maxFEs,completed,""
HHO,cec2017,2,1,20364314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
RUN,cec2017,2,1,20365314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
INFO,cec2017,2,1,20366314,3000,3000,exact_derived_iteration_from_maxFEs,completed,""
MGO,cec2017,2,1,20367314,3000,3000,exact_fes_parameter,completed,""
PLO,cec2017,2,1,20368314,3000,30,exact_fes_parameter_with_runtime_error,failed,"用于矩阵乘法的维度不正确。请检查并确保第一个矩阵中的列数与第二个矩阵中的行数匹配。要单独对矩阵的每个元素进行运算，请使用 TIMES (.*)执行按元素相乘。"
PO,cec2017,2,1,20369314,3000,3000,exact_derived_iteration_from_maxFEs_with_hard_stop,stopped_at_budget,"Reached maxFEs=3000, objective evaluation is stopped."
