progress_id,stage,task_name,status,goal,current_conclusion,next_step,updated_at
P-20260315-001,ablation,"V3 消融实验：双目标消融 + directional 保守方向验证",analyzing,"提升简单函数收敛并验证 directional 保守触发，判断 v3 主线去向","已完成smoke+formal实跑(20260315_175032)：SMOKE_PASS=1，best=V3_DIR_STAG_BOTTOM_HALF，simple仍负、complex为正，recommend_full_formal=0","保持协议不变，优先调tau_dir/alpha_dir/cap/tau_refine后再跑reduced formal","2026-03-15 17:50:32"
P-20260315-002,benchmark_framework,"保守型迭代改造第一步：统一入口与导出增强",done,"不改算法体前提下统一入口/配置/模式并增强结果沉淀","已新增run_experiment_unified与config/export模块；复用run_all_compare主控；新增protocol_snapshot与aggregate/rank导出，pvalue为占位","执行smoke/formal最小验证并确认seed/FE协议一致","2026-03-15 19:05:00"
P-20260315-003,benchmark_statistics,"显著性检验导出增强：Wilcoxon/Friedman",done,"在统一导出链补齐正式统计检验文件并保持可追踪降级","已新增wilcoxon_rank_sum/friedman_summary/friedman_ranks导出；统计函数不可用时写入note字段","执行formal验证统计文件并核对p_value与note一致性","2026-03-15 19:20:00"
P-20260315-004,benchmark_framework,"第一批主线改造落地：算法注册+统一摘要导出+xlsx汇总",done,"降低算法切换成本并统一论文友好型输出","已新增algorithm_registry与experiment_summary导出；resolve_experiment_mode接入profile；aggregate新增summary_exports.xlsx","执行smoke/formal各一轮并核对registry与导出一致性","2026-03-15 19:35:00"
P-20260315-005,documentation,"项目级README完整化（结构+入口+函数规范）",done,"统一团队执行说明并降低协议理解偏差","已更新根README覆盖目录结构、统一入口、配置字段、函数接口、FE规则、统计导出、消融规范与FAQ","后续新增profile/导出字段时同步更新README示例","2026-03-15 19:45:00"
P-20260315-006,localization,"输出文件中文化策略落地（统一入口默认中文）",done,"满足中文输出偏好并保持历史脚本兼容","已新增localize_output_files_zh并接入统一入口；默认output_language=zh；中文摘要模板已生效","后续逐步将旧英文直出链路参数化为中文主名","2026-03-15 20:00:00"
P-20260315-007,benchmark_framework,"受控重构第二阶段：pipeline 默认收口统一入口并保留兼容壳",done,"不改run_all_compare语义前提下收敛入口并统一配置与导出","3个pipeline入口已接入use_unified_entry与run_phase_via_unified；新增explicit_experiment_name保持目录命名语义；静态检查通过","执行smoke回归后再做formal对照，核对summary/aggregate/protocol输出一致性","2026-03-15 20:25:00"
P-20260315-008,benchmark_framework,"受控重构第三阶段：core/export抽离+unified兼容壳化+阶段脚本分层",done,"按先兼容后收敛原则抽离公共职责并压缩执行链层级","已新增core与export公共函数；run_experiment_unified已改薄兼容壳；新增experiments/scripts入口及smoke自检脚本；静态检查与runtime smoke自检通过(check.pass=1)","执行formal小规模回归并复核summary/protocol/aggregate语义与历史一致","2026-03-15 21:20:00"
P-20260315-009,repo_hygiene,"活动目录简洁化：明确未用文件归档achieve",done,"按简洁优先原则清理活动目录并保持核心链路稳定","run_ct_app/run_sensitivity占位脚本及run_experiment_unified说明文档已归档到archive/achieve/unused_versions/20260315_simplify_cleanup；核心运行链未变","如需恢复可从achieve回迁；继续formal小规模一致性回归","2026-03-15 21:35:00"
P-20260315-010,benchmark_framework,"主入口去歧义：新增唯一人类入口并文档置顶",done,"降低run_*.m入口认知成本并明确入口分工","已新增run_main_entry.m；README_all顶部已改为主入口只记这一条并给出最小用法","后续新增入口必须同步更新入口分工说明","2026-03-15 21:45:00"
P-20260316-001,benchmark_framework,"P0 入口路径与算法 catalog 对齐修复",done,"消除 run_all_compare 入口级路径故障，并解决登记算法缺文件导致的 pipeline 不可运行","已将 core/run_all_compare 的 repo_root 回溯修正为 4 级并统一复用 resolve_common_paths；将缺失 v3 历史别名映射到现存 BBO_v3 实现；run_v3_dual_objective_ablation 的 name_from_algorithm 已同步；algorithm_inventory 已增加 legacy_alias->entry 标注；legacy/run_experiment_unified 增加显式兼容告警；静态诊断通过","追加一次 smoke 回归，确认 algorithm_inventory.csv 中相关别名 runnable=1 且结果目录生成正常","2026-03-16 00:10:00"
P-20260316-002,documentation,"框架树使用规范同步更新（结构指南）",done,"让目录树文档与当前 benchmark 重构状态一致，减少后续维护歧义","已在 PROJECT_STRUCTURE_GUIDE.md 新增与当前实现同步的使用规范：入口分层、路径解析、catalog一致性、第三方基线路径隔离、结果落盘、最小侵入与提交前检查清单","后续每次入口/路径/runner变更时同步维护该节与cec_runner README","2026-03-16 00:20:00"
P-20260316-003,benchmark_framework,"长线改进第一阶段：结果树协议+入口收口+路径安全+自检工具",done,"按低风险方式推进结构收敛，不改变算法语义与 CEC 协议","已新增 result_group/result_layout 并贯通至 run_all_compare；pipeline 默认改 use_core_entry；run_phase_via_unified 退为兼容 shim；stage_profiles(v3_dual_ablation) 与 suites 对齐；run_all_compare 增加关键同名函数冲突校验并下沉 private helper；新增 tools/check_path_collisions 与 tools/selfcheck_runner_integrity；mdm-opt-main 迁移至 archive/achieve/reference_only","下一阶段继续拆分 run_all_compare（config/path/inventory/plotting 分离到 core/private）并补 smoke/formal 回归对照","2026-03-16 01:20:00"
P-20260316-004,benchmark_framework,"长线改进第二阶段（局部）：run_all_compare helper 下沉（路径+算法清单+suite/path）",done,"继续在不改算法语义前提下压缩核心文件职责，减少重复块","已完成 execution/results_io/plotting 下沉；run_all_compare 收敛为 173 行薄编排层；新增并接入 rac_generate_result_figures 等 private helper；静态检查通过并完成 smoke 回归（selfcheck pass=1，结果生成于 unified_benchmark_smoke_20260316_115517）","下一步做 formal 小规模回归对照并排查 path 激活 warning 的历史目录原因","2026-03-16 12:05:00"
P-20260316-005,benchmark_framework,"小规模 formal 语义一致性审计（summary/run_manifest/protocol_snapshot）",done,"在不改协议前提下核对 formal 输出三类关键产物的语义一致性","已对 formal_semantic_consistency_20260316_1 执行自动审计：CEC2017/CEC2022 均为 SUMMARY_ROWS=14、MANIFEST_ROWS=28、RAW_FILES=28，且 AUDIT_PASS=1；protocol_snapshot 与 run_manifest/raw_runs/summary 关键字段一致","保持协议不变，进入下一轮 formal/ablation；路径激活 warning 作为环境历史目录问题单独跟踪","2026-03-16 12:20:00"
P-20260316-006,benchmark_framework,"P0/P1 收敛修复：别名映射统一、路径冲突防护、指标模块归位",done,"针对命名映射不直观、同名函数冲突风险与指标逻辑分散问题做集中修复，并保持协议不变","已新增 algorithm_alias_map 与 resolve_algorithm_alias 并接入 inventory；run_all_compare 启用算法路径前置与 strict_path_guard；path resolution 校验增强为 first-hit + expected-file；pipeline_common 纯转发函数迁移 compat/transitional；benchmark/metrics 新增聚合/排名/Wilcoxon/Friedman 实现并接入 export；check_path_collisions 根路径解析已修复并可稳定检出重复函数","下一步继续分解长 pipeline（analysis/reporting）并评估 BBO 稳定/消融/历史物理分层迁移方案（保持兼容）","2026-03-16 13:10:00"
P-20260316-007,repo_hygiene,"P0 主改造：src 与第三方原件硬分层 + 空目录治理 + 模块层落地",done,"消除 src 混放原件风险，建立明确开发边界，并把 v3 改进逻辑从概念模块化落到目录模块化","已迁移 BBO/SBO MATLAB 原始包至 third_party，迁移 cec_runner.zip 至 archive/historical_zips，迁移 mex 与 input_data 至 external_assets/mex_bin；cec_runner 路径解析改为 third_party/external_assets；空目录补齐 README；新增 src/improved/modules/BBO 模块并接入 BBO_improved_v3_ablation_core；experiment_registry 升级为 paper_name/internal_id/entry_func 三层命名","下一步继续拆分 rac_generate_result_figures（按 convergence/boxchart/rank）并执行 smoke 回归验证迁移后运行链","2026-03-16 13:45:00"
P-20260316-008,benchmark_framework,"P1 收口：图表大文件按职责拆分完成（convergence/boxplot/radar/behavior）",done,"将 rac_generate_result_figures 从巨型实现收敛为薄调度入口，降低维护耦合与回归风险","已将主入口改为调度层；新增 rac_plot_convergence_curves、rac_plot_boxplots、rac_plot_friedman_radar、rac_plot_algorithm_behavior 四个独立模块；复用 rac_build_plot_dataset 与 rac_save_figure_multi_format；相关文件静态错误检查通过","下一步执行一次 smoke 回归，核对拆分后绘图产物与旧协议一致","2026-03-16 14:20:00"
P-20260316-009,benchmark_framework,"smoke 核对图目录与命名一致性（拆分后）",done,"通过运行期 smoke 与模板对照确认拆分未改变图目录/命名协议","已运行 plot_split_smoke_20260316_check1/check2（cec2017+cec2022）；figures 目录树完整但图文件数为 0（上游算法路径激活 warning 导致可绘制数据不足，plot log 显示 convergence/boxplot/radar 被跳过）；已修复数据字段兼容（convergence/convergence_curve）；静态命名模板核对通过","下一步优先修复算法路径激活链路，再补一轮 smoke 获取实物图文件清单做最终对照","2026-03-16 15:05:00"
P-20260316-010,benchmark_framework,"修复算法路径激活 warning 并复跑 smoke",done,"消除路径激活误报，验证 warning 根因修复与后续阻塞边界","已修复 rac_setup_single_algorithm_path/rac_is_path_entry_active 的路径规范化逻辑；复跑 plot_split_smoke_20260316_check3 后激活 warning 消失；但运行仍因 cec17_func/cec22_func 在 objective 阶段未定义而快速失败（best=Inf、used_FEs=1、无图文件）","下一步转入 CEC objective 可用性链路修复，恢复可绘制收敛数据后再做文件名实物一致性终验","2026-03-16 15:30:00"
P-20260316-011,benchmark_framework,"CEC objective 可见性守卫修复 + smoke 实物命名终验",done,"恢复 split 后 smoke 的有效目标调用并完成图文件实物命名对照","已在 rac_build_suite_api 中加入 suite/mex 运行时路径守卫并复跑 plot_split_smoke_20260316_check4；CEC2022 的 BBO_BASE/BBO_IMPROVED_V3 目标值恢复为有效数值；cec2017/cec2022 均生成 convergence 实物图（各 1 张），文件名与拆分前模板一致：convergence_<suite>_D10_F1.png；同时将路径守卫改为入口函数优先校验，SBO 不再因 main 通用名被 strict guard 误跳过","下一步定位 SBO 在 F2/F3 的 function_handle runtime 错误并做定点修复，再补一轮含 SBO 的 smoke 以完善覆盖","2026-03-16 15:56:00"
P-20260316-012,benchmark_framework,"SBO 路径生命周期修复 + compat fallback 守卫 + smoke 复验",done,"修复 SBO 在多函数/跨 suite 运行中的路径失活与 unifrnd 缺失问题，恢复稳定 smoke 链路","已在 run_all_compare 中加入算法循环显式 onCleanup 释放、运行前路径激活二次确认、unifrnd 缺失时 compat 路径前置恢复；quick 验证（sbo_path_guard_quick_20260316_v5、sbo_cec2022_quick_20260316_v1）均通过；端到端复跑 plot_split_smoke_20260316_check6 后 cec2017/cec2022 三算法均完成（SBO used_FEs=3000）并成功产出 convergence 图","下一步可选：单独诊断 cec2017 中 BBO/SBO 的 Inf 值来源（input_data 读取告警），当前不影响框架稳定性与图命名一致性结论","2026-03-16 17:35:00"
